Date,Modality,FirstImageTime,ImagesPerSecond
2021-11-24 09:45:40,CT,0.13,610.06
2021-11-24 09:45:41,CT,0.14,621.57
2021-11-24 09:45:41,MG,0.32,10.32
2021-11-24 09:45:42,CR,0.3,10.68
2021-11-24 09:45:44,US,0.33,78.37
2021-11-24 09:45:45,CT,0.22,301.82
2021-11-24 09:45:46,CT,0.12,524.23
2021-11-24 09:45:46,CR,0.36,10.15
2021-11-24 09:45:47,CT,0.12,611.21
2021-11-24 09:45:48,CR,0.28,11.45
2021-11-24 09:45:49,CR,0.33,9.39
2021-11-24 09:45:51,US,0.17,275.91
2021-11-24 09:45:52,MR,0.12,980.6
2021-11-24 09:45:53,CT,0.16,598.78
2021-11-24 09:45:54,CR,0.34,13.94
2021-11-24 09:45:55,US,0.32,84.64
2021-11-24 09:45:56,CR,0.15,27.17
2021-11-24 09:45:56,CR,0.29,10.77
2021-11-24 09:45:57,CR,0.15,30.46
2021-11-24 09:45:58,CR,0.2,18.47
2021-11-24 09:45:59,CR,0.17,24.52
2021-11-24 09:46:00,CR,0.29,14.2
2021-11-24 09:46:03,CT,0.13,560.26
2021-11-24 09:46:03,CT,0.34,345.29
2021-11-24 09:46:04,CR,0.3,12.38
2021-11-24 09:46:05,MR,0.14,534.89
2021-11-24 09:46:06,CT,0.16,788.38
2021-11-24 09:46:06,CR,0.25,26.94
2021-11-24 09:46:07,CR,0.3,15.31
2021-11-24 09:46:09,MR,0.14,417.83
2021-11-24 09:46:10,CT,0.38,541.87
2021-11-24 09:46:11,US,0.3,147.45
2021-11-24 09:46:11,CR,0.3,5.88
2021-11-24 09:46:14,US,0.29,163.91
2021-11-24 09:46:14,MG,0.2,8.87
2021-11-24 09:46:14,CR,0.26,14.48
2021-11-24 09:46:15,CR,0.28,11.01
2021-11-24 09:46:17,CT,0.17,656.59
2021-11-24 09:46:17,US,0.38,73.34
2021-11-24 09:46:18,MG,0.31,2.97
2021-11-24 09:46:19,CR,0.16,28.76
2021-11-24 09:46:21,MR,0.13,355.75
2021-11-24 09:46:21,CR,0.21,16.78
2021-11-24 09:46:22,CR,0.26,19.0
2021-11-24 09:46:23,CT,0.17,701.13
2021-11-24 09:46:24,CR,0.15,22.03
2021-11-24 09:46:25,MR,0.24,323.56
2021-11-24 09:46:26,CR,0.24,8.02
2021-11-24 09:46:26,CT,0.12,481.88
2021-11-24 09:46:26,CR,0.16,28.64
2021-11-24 09:46:27,CT,0.36,305.05
2021-11-24 09:46:27,CR,0.17,26.42
2021-11-24 09:46:27,CR,0.16,26.34
2021-11-24 09:46:28,US,0.15,181.31
2021-11-24 09:46:29,CR,0.17,24.8
2021-11-24 09:46:30,CT,0.12,515.9
2021-11-24 09:46:32,MR,0.16,426.68
2021-11-24 09:46:34,CT,0.22,317.01
2021-11-24 09:46:37,MR,0.14,483.71
2021-11-24 09:46:39,CT,0.31,532.47
2021-11-24 09:46:41,MR,0.26,212.44
2021-11-24 09:46:42,US,0.27,54.88
2021-11-24 09:46:44,US,0.17,266.89
2021-11-24 09:46:45,CR,0.15,31.05
2021-11-24 09:46:49,US,0.17,323.97
2021-11-24 09:46:52,MR,0.28,275.63
2021-11-24 09:46:54,CR,0.26,12.7
2021-11-24 09:46:57,CR,0.14,26.92
2021-11-24 09:46:58,CT,0.16,736.25
2021-11-24 09:47:03,MG,0.19,10.46
2021-11-24 09:47:04,MR,0.18,1072.42
2021-11-24 09:47:07,US,0.15,185.2
2021-11-24 09:47:11,MR,0.18,446.15
2021-11-24 09:47:12,CR,0.3,15.15
2021-11-24 09:47:16,CT,0.33,355.09
2021-11-24 09:47:18,CR,0.16,24.39
2021-11-24 09:47:20,CR,0.27,10.04
2021-11-24 09:47:20,CR,0.15,27.61
2021-11-24 09:47:22,CT,0.27,383.15
2021-11-24 09:47:23,US,0.3,147.34
2021-11-24 09:47:24,CR,0.31,9.05
2021-11-24 09:47:28,MG,0.21,13.31
2021-11-24 09:47:29,US,0.16,275.45
2021-11-24 09:47:31,MG,0.18,12.58
2021-11-24 09:47:32,CT,0.18,498.16
2021-11-24 09:47:36,US,0.15,247.4
2021-11-24 09:47:39,CR,0.17,24.13
2021-11-24 09:47:46,CT,0.17,317.11
2021-11-24 09:47:46,MG,0.21,10.35
2021-11-24 09:47:46,CT,0.18,417.82
2021-11-24 09:47:48,CT,0.12,270.3
2021-11-24 09:47:50,CR,0.26,10.22
2021-11-24 09:47:51,CR,0.17,24.72
2021-11-24 09:47:51,US,0.15,271.65
2021-11-24 09:47:53,MR,0.14,285.28
2021-11-24 09:47:56,MG,0.2,11.56
2021-11-24 09:47:57,MR,0.28,248.38
2021-11-24 09:48:09,CR,0.15,30.13
2021-11-24 09:48:18,CR,0.34,9.0
2021-11-24 09:48:22,MG,0.18,12.7
2021-11-24 09:48:23,CR,0.17,17.29
2021-11-24 09:48:25,CR,0.16,28.06
2021-11-24 09:48:26,CT,0.34,328.12
2021-11-24 09:48:35,CT,0.2,724.11
2021-11-24 09:48:37,MG,0.19,12.1
2021-11-24 09:48:38,CR,0.16,23.61
2021-11-24 09:48:41,MR,0.23,301.79
2021-11-24 09:48:43,CT,0.12,482.05
2021-11-24 09:48:45,US,0.15,277.2
2021-11-24 09:48:45,CR,0.26,12.63
2021-11-24 09:48:46,US,0.15,179.38
2021-11-24 09:48:47,CR,0.15,20.58
2021-11-24 09:48:49,CR,0.26,11.56
2021-11-24 09:48:50,CR,0.15,29.13
2021-11-24 09:48:52,MR,0.13,442.52
2021-11-24 09:48:53,CR,0.28,13.7
2021-11-24 09:48:55,US,0.15,241.86
2021-11-24 09:48:56,US,0.15,255.3
2021-11-24 09:49:01,MR,0.12,365.46
2021-11-24 09:49:02,CR,0.28,14.69
2021-11-24 09:49:04,CT,0.16,809.72
2021-11-24 09:49:06,CR,0.18,17.29
2021-11-24 09:49:09,CT,0.16,693.8
2021-11-24 09:49:14,MR,0.14,345.65
2021-11-24 09:49:15,CR,0.25,26.1
2021-11-24 09:49:16,CT,0.26,455.06
2021-11-24 09:49:18,CT,0.42,329.97
2021-11-24 09:49:20,MR,0.14,496.2
2021-11-24 09:49:33,CT,0.19,496.72
2021-11-24 09:49:35,CT,0.21,592.57
2021-11-24 09:49:37,MR,0.22,263.41
2021-11-24 09:49:38,CR,0.3,11.94
