Date,Modality,FirstImageTime,ImagesPerSecond,headers were loaded,Total headers load time is[seconds],First header load time is[seconds],header per second [with first header],header per second [without first header],Load completed for request,images were loaded,Total load time is[seconds],Total Pixel data load time is[seconds],First image time is[seconds],images per second [with first image],images per second [without first image],Headers transfer rate[kilobytes per second],Headers total bytes[kilobytes],Pixel data transfer rate[kilobytes per second],Pixel data total bytes[kilobytes],Total of[kilobytes per second],Total bytes[kilobytes],Number of images ,delete completed for request
2021-11-24 08:26:59,US,0.16,174.4,15.0,0.0873515,0.0850097,171.720005,5978.307285,1234.0,76.0,0.593894,0.506543,0.160466,127.968964,173.039001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,91.0,238026752.0
2021-11-24 08:27:01,CR,0.28,10.14,2.0,0.135656,0.128052,14.743217,131.523569,1234.0,2.0,0.479279,0.343623,0.289714,4.172937,5.275238,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,2017460224.0
2021-11-24 08:27:01,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:27:02,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:27:04,CR,0.28,9.67,2.0,0.132287,0.125866,15.118621,155.743833,1234.0,2.0,0.48998,0.357693,0.289501,4.081799,4.988046,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,553910272.0
2021-11-24 08:27:04,CR,0.29,10.22,2.0,0.135742,0.12953,14.733812,160.976159,1234.0,2.0,0.481167,0.345425,0.291613,4.156562,5.275544,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1977614336.0
2021-11-24 08:27:05,CT,0.11,678.58,389.0,0.11944,0.087594,3256.873552,12183.748512,1234.0,389.0,0.687715,0.568276,0.146305,565.640961,716.646743,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,778.0,-1920991232.0
2021-11-24 08:27:06,MR,0.13,243.88,84.0,0.100459,0.0897089,836.161184,7720.78659,1234.0,84.0,0.477282,0.376823,0.143601,175.996433,248.739893,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,168.0,691273728.0
2021-11-24 08:27:06,CR,0.17,26.54,2.0,0.0998298,0.0971121,20.034098,367.9582,1234.0,2.0,0.243486,0.143657,0.17084,8.214011,13.765231,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,332398592.0
2021-11-24 08:27:06,CT,0.27,538.13,28.0,0.132395,0.126177,211.488988,4342.651269,1234.0,28.0,0.322064,0.189669,0.27625,86.939269,589.342076,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.0,624164864.0
2021-11-24 08:27:09,US,0.16,297.93,28.0,0.0925392,0.0826144,302.574477,2720.457843,1234.0,267.0,1.05835,0.965816,0.172083,252.278324,300.133729,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,295.0,389021696.0
2021-11-24 08:27:11,CR,1.65,10.02,2.0,1.51843,1.49544,1.317151,43.505688,1234.0,2.0,1.85454,0.336106,1.67794,1.078437,5.662636,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1754529792.0
2021-11-24 08:27:13,CR,0.16,27.73,2.0,0.0911152,0.0883738,21.950234,364.777121,1234.0,2.0,0.23044,0.139325,0.161061,8.679053,14.413666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,360710144.0
